HR,HR_lower_95,HR_upper_95,p,follow_up,population,season,reference
0.9867273085775591,0.9614427141727203,1.0126768523390188,0.3130519611439111,5 years,Overall,Summer,Spring
1.0107937668260256,0.9850011350255011,1.037261788564228,0.4156133507578519,5 years,Overall,Autumn,Spring
1.0129132989860774,0.9869344945841468,1.0395759362886283,0.3331065048872578,5 years,Overall,Winter,Spring
0.9626171305736212,0.8990557147769531,1.0306722095678802,0.2743291869692021,5 years,Breast Cancer,Summer,Spring
1.0581315875053225,0.989465893989635,1.1315624553384178,0.0988181655908788,5 years,Breast Cancer,Autumn,Spring
0.9976614277988971,0.931781344742592,1.0681994548760763,0.9464450448516465,5 years,Breast Cancer,Winter,Spring
1.0242192744085765,0.9441190347225866,1.1111153186083886,0.5646367617256739,5 years,Colorectal Cancer,Summer,Spring
0.9385634725349026,0.8641465934280256,1.019388838278334,0.13249229310117464,5 years,Colorectal Cancer,Autumn,Spring
1.0305364168333118,0.9494556011361992,1.118541304247145,0.47187399851861833,5 years,Colorectal Cancer,Winter,Spring
0.9886435378161452,0.9232860599575882,1.0586275340391493,0.7434408305378315,5 years,Lung Cancer,Summer,Spring
1.0509015103875885,0.9822742783884371,1.1243234286322072,0.1496103636351652,5 years,Lung Cancer,Autumn,Spring
1.0020616877784707,0.936024193272433,1.072758197203117,0.9527834442119256,5 years,Lung Cancer,Winter,Spring
0.9713843416754593,0.885951451683982,1.0650555822880936,0.53649905544158,5 years,Cervical Cancer,Summer,Spring
1.0307048938648904,0.940082135348497,1.1300635745441658,0.5195252870789306,5 years,Cervical Cancer,Autumn,Spring
0.9683602561040008,0.8824643938755431,1.0626169079565788,0.4975092257798387,5 years,Cervical Cancer,Winter,Spring
0.9547172576512206,0.8781673763959075,1.0379399947626147,0.2771663054957413,5 years,Esophageal Cancer,Summer,Spring
0.9714200855269988,0.8927839585941139,1.056982457493164,0.5007907696787315,5 years,Esophageal Cancer,Autumn,Spring
1.0281318597026161,0.94458300910144,1.1190706489005262,0.5211542171545849,5 years,Esophageal Cancer,Winter,Spring
1.0134997818949694,0.9116197040647974,1.1267656933270267,0.8040722887894967,5 years,Nasopharyngeal Carcinoma,Summer,Spring
1.0207930287390383,0.9179991624864235,1.1350973400671591,0.7039243958353598,5 years,Nasopharyngeal Carcinoma,Autumn,Spring
1.043638315263206,0.9387826398250544,1.160205660906124,0.42915652774417146,5 years,Nasopharyngeal Carcinoma,Winter,Spring
0.9926251604525281,0.9000298280049219,1.0947467278362455,0.8822214596074904,5 years,Lymphoma,Summer,Spring
0.940373397975439,0.8524768330116078,1.0373327384110063,0.21948409384836481,5 years,Lymphoma,Autumn,Spring
0.9807254410999326,0.8905259873438677,1.080061002699587,0.6925632680237668,5 years,Lymphoma,Winter,Spring
1.0197758431444057,0.9053680051452241,1.1486409552257961,0.7470405017051154,5 years,Gastric Cancer,Summer,Spring
1.083584231686778,0.9644010573607684,1.2174963706214508,0.1769345946776138,5 years,Gastric Cancer,Autumn,Spring
1.0209442612738402,0.9073521256820568,1.1487570868305068,0.7305254418135892,5 years,Gastric Cancer,Winter,Spring
