HR,HR_lower_95,HR_upper_95,p,follow_up,population,season,reference
1.029691599435296,0.9646750463031537,1.099090096723021,0.37926862218968205,10 years,Lung Cancer,Autumn,Spring
0.9913354670580442,0.928253782128521,1.0587040173364195,0.7953127105990202,10 years,Lung Cancer,Winter,Spring
0.9707647679210786,0.8911675559733406,1.057471435444691,0.49665905104494446,10 years,Cervical Cancer,Summer,Spring
1.0409428879738467,0.9551963385386375,1.1343867771531482,0.36025829738188997,10 years,Cervical Cancer,Autumn,Spring
0.9841765719017588,0.902826141826552,1.0728571978661012,0.717095052801792,10 years,Cervical Cancer,Winter,Spring
0.9666838445791809,0.8930269685424358,1.046415940714091,0.4020623189349455,10 years,Esophageal Cancer,Summer,Spring
0.9916705552308042,0.9153895229250486,1.0743082212361004,0.8377153958150111,10 years,Esophageal Cancer,Autumn,Spring
1.029761540958808,0.949896354307039,1.1163416160402466,0.476458202877338,10 years,Esophageal Cancer,Winter,Spring
0.9929683565379459,0.901233005402954,1.094041331347847,0.8865447894018651,10 years,Nasopharyngeal Carcinoma,Summer,Spring
1.0295090209160345,0.9346355648319878,1.134012939404911,0.5554810003582762,10 years,Nasopharyngeal Carcinoma,Autumn,Spring
1.0490383508730208,0.9526593189461681,1.1551678965569139,0.3302371353775547,10 years,Nasopharyngeal Carcinoma,Winter,Spring
1.005871841103629,0.9170903963695405,1.1032480164774392,0.9011708391690578,10 years,Lymphoma,Summer,Spring
0.9428913157390012,0.8593767669192367,1.034521838987039,0.2139713616108189,10 years,Lymphoma,Autumn,Spring
0.9703259863414674,0.885582238348334,1.0631790916736974,0.5182472358368482,10 years,Lymphoma,Winter,Spring
0.9949029986182415,0.891225143539859,1.1106418886792768,0.9274846296384309,10 years,Gastric Cancer,Summer,Spring
1.044666308655479,0.9372478272939856,1.16439608037368,0.4299231609108427,10 years,Gastric Cancer,Autumn,Spring
1.0087929441033172,0.904014004742293,1.1257161932604611,0.8756679261626821,10 years,Gastric Cancer,Winter,Spring
0.993860287256164,0.8925999322790291,1.1066080501069644,0.9105622454840151,10 years,Other Head and Neck Cancer,Summer,Spring
0.9056306110154225,0.8128623656288018,1.0089860698295652,0.07222146591255389,10 years,Other Head and Neck Cancer,Autumn,Spring
0.9509808043449671,0.8535719943205143,1.0595058135108095,0.3619822179125407,10 years,Other Head and Neck Cancer,Winter,Spring
1.0813450138932332,0.965727347567295,1.2108045216046612,0.17525506287841092,10 years,Pancreatic Cancer,Summer,Spring
1.0585956622851875,0.9469291857847617,1.1834303906055066,0.3167358948815169,10 years,Pancreatic Cancer,Autumn,Spring
1.097496305267107,0.9800311603817898,1.2290406558151843,0.10723883641729516,10 years,Pancreatic Cancer,Winter,Spring
0.9466268253405674,0.8257113363794357,1.0852489326155732,0.4314812391463678,10 years,Prostate Cancer,Summer,Spring
1.0313652258309567,0.9012588486461627,1.1802538534309115,0.6535151127107557,10 years,Prostate Cancer,Autumn,Spring
0.9813246937745843,0.8528378496127482,1.129169108816001,0.7923243064202576,10 years,Prostate Cancer,Winter,Spring
0.8967571680500731,0.7691125483920332,1.0455861370750676,0.1642399911365555,10 years,Soft Tissue Sarcoma,Summer,Spring
0.9530210786423241,0.8138063261968314,1.1160507692058728,0.5503592962781146,10 years,Soft Tissue Sarcoma,Autumn,Spring
1.0220156747898959,0.8777913382216074,1.189936598864624,0.7790372292095993,10 years,Soft Tissue Sarcoma,Winter,Spring
0.9114435145065946,0.7970374436292543,1.042271334648301,0.1754281129638532,10 years,Liver Cancer,Summer,Spring
0.8899187988662638,0.7792420070148618,1.0163151645397237,0.08522707838176362,10 years,Liver Cancer,Autumn,Spring
0.8613030476464067,0.7532255221829948,0.9848882148005058,0.02906901417423583,10 years,Liver Cancer,Winter,Spring
0.9646580180918446,0.8735832316370842,1.065227740378004,0.4770052059507631,10 years,Other,Summer,Spring
0.9870768844998639,0.8944626454275019,1.089280565146785,0.7958231364691307,10 years,Other,Autumn,Spring
1.0155268668354207,0.9210524911723408,1.1196916865746773,0.7571212887943626,10 years,Other,Winter,Spring
