hour,HR,HR_lower_95,HR_upper_95
0.0,1.156165798340269,1.0740047749562613,1.2446121138579007
0.125,1.1633984166861167,1.079817488336797,1.2534487453361245
0.25,1.1706353167662094,1.0855897294092482,1.262343413663332
0.375,1.1778518886587777,1.0913007733706233,1.2712673769414513
0.5,1.1850229185458714,1.0969297357216263,1.2801907649583002
0.625,1.192122692660768,1.1024556834313874,1.2890826685508283
0.75,1.19912511012575,1.1078577494192512,1.2979112440093077
0.875,1.2060038042658596,1.113115249521673,1.3066438327286676
1.0,1.212732271835376,1.118207801078471,1.3152470960518572
1.125,1.219284009442812,1.1231154422426048,1.3236871649760527
1.25,1.2256326563100948,1.1278187510912707,1.3319298041110266
1.375,1.2317521423553226,1.1322989635939145,1.3399405889954144
1.5,1.2376168404493686,1.1365380894755972,1.347685095596407
1.625,1.243201721567872,1.1405190250032182,1.355129100546972
1.75,1.2484825114451688,1.1442256617188138,1.3622387904174438
1.875,1.2534358472385994,1.147642990149994,1.3689809780804796
2.0,1.258039432633409,1.1507571975440645,1.3753233240150877
2.125,1.2622721897627978,1.153555758700765,1.3812345602115645
2.25,1.2661144062868719,1.1560275190199358,1.3866847141893284
2.375,1.269547875970136,1.158162768935421,1.3916453305279364
2.5,1.2725560311209878,1.1599533089754397,1.396089687241617
2.625,1.2751240653090963,1.1613925047722464,1.3999930043024085
2.75,1.2772390448575561,1.1624753314395202,1.4033326416385252
2.875,1.2788900077155787,1.1631984068433832,1.406088284004132
3.0,1.2800680484528486,1.1635600134107114,1.408242110234415
3.125,1.2807663882764198,1.1635601082444986,1.4097789445647924
3.25,1.280980429152452,1.1632003214482078,1.4106863879031886
3.375,1.2807077913148832,1.1624839426968152,1.4109549271962947
3.5,1.2799483336574824,1.1614158962289727,1.4105780213202643
3.625,1.2787041567304396,1.1600027045696812,1.409552162247985
3.75,1.2769795882932056,1.1582524414234017,1.4078769105925737
3.875,1.2747811516070455,1.156174674301064,1.4055549049930351
4.0,1.2721175168790027,1.1537803975585506,1.4025918451854071
4.125,1.2689994364890822,1.1510819566268051,1.3989964489832645
4.25,1.2654396648400659,1.148092964302877,1.3947803837669814
4.375,1.2614528638604108,1.1448282100454688,1.3899581734437105
4.5,1.2570554953615836,1.1413035632767825,1.3845470821819714
4.625,1.2522657015988523,1.1375358717339343,1.378566976538965
4.75,1.2471031755066004,1.133542855937598,1.3720401678789858
4.875,1.24158902217381,1.1293430008529277,1.3649912372222421
5.0,1.2357456131914466,1.1249554458086422,1.3574468448607895
5.125,1.229596435540659,1.1203998737152299,1.3494355272290695
5.25,1.2231659366992813,1.115696400583667,1.340987483618967
5.375,1.216479367625065,1.110865466293203,1.3321343553827716
5.5,1.2095626252289005,1.1059277274922645,1.3229090002726809
5.625,1.2024420958821007,1.1009039534421052,1.313345264524363
5.75,1.1951445014111148,1.0958149255303804,1.3034777552075076
5.875,1.1876967489237025,1.0906813410932479,1.2933416152420738
6.0,1.1801257856857386,1.0855237220918654,1.2829723033197065
6.125,1.1724584601307348,1.080362329094137,1.2724053807806857
6.25,1.1647213899381959,1.0752170809170822,1.2616763072834574
6.375,1.156940837965394,1.0701074801909665,1.250820246872028
6.5,1.1491425966632938,1.0650525450148713,1.2398718858022344
6.625,1.1413518814541617,1.0600707467860844,1.2288652632368395
6.75,1.133593233398723,1.0551799542037346,1.2178336156670932
6.875,1.125890431337009,1.0503973833714746,1.206809235669942
7.0,1.118266413551505,1.0457395538555239,1.1958233453700975
7.125,1.1107432088756526,1.0412222504935695,1.184905984748739
7.25,1.1033418770566708,1.0368604906973555,1.1740859147291671
7.375,1.096082458080125,1.032668496947382,1.163390534776993
7.5,1.08898393007546,1.0286596741421343,1.152845814580591
7.625,1.0820641753472628,1.0248465914364706,1.1424762392279788
7.75,1.0753399540164112,1.0212409681840542,1.1323047671699087
7.875,1.0688268847084046,1.0178536635866184,1.1223528001559888
8.0,1.0625394316926136,1.014694669648002,1.1126401642508967
8.125,1.056490897855377,1.0117731070327507,1.1031851009804816
8.25,1.0506934228810196,1.0090972234371016,1.0940042676217354
8.375,1.0451579860171134,1.0066743940937446,1.0851127456348366
8.5,1.039894412812631,1.0045111240502655,1.0765240562381417
8.625,1.0349113852390364,1.0026130518840102,1.0682501821463295
8.75,1.030216454633707,1.00098495454262,1.060301594525969
8.875,1.0258160569413295,0.9996307530291043,1.052687284269674
9.0,1.0217155297709415,0.9985535186824301,1.0454147967477223
9.125,1.0179191308330826,0.9977554798386767,1.0384902692626765
9.25,1.0144300573720493,0.9972380286933191,1.0319184705062314
9.375,1.0112504662615496,0.9970017282216619,1.0257028413965217
9.5,1.0083814944872393,0.9970463190514268,1.0198455367567238
9.625,1.005823279795827,0.9973707262185781,1.01434746738047
9.75,1.0035749813468788,0.9979730657742832,1.0092083421148998
9.875,1.0016348002593953,0.9988506512471258,1.0044267096767994
10.0,1.0,1.0,1.0
10.125,0.9986669266125036,0.9959245649919423,1.0014168395552456
10.25,0.9976310288391356,0.9921957186530314,1.0030961139942947
10.375,0.996886878231261,0.9888077765832063,1.0050319905691438
10.5,0.9964281893914216,0.9857540949651699,1.0072178666921472
10.625,0.9962478405285407,0.9830271091722074,1.0096463774977258
10.75,0.9963378945436276,0.9806183721997505,1.0123094041944174
10.875,0.9966896208938603,0.9785185931631816,1.0151980834480527
11.0,0.9972935185080678,0.9767176761392522,1.0183028180565055
11.125,0.9981393400459866,0.9752047596543943,1.0216132891932488
11.25,0.9992161178068245,0.9739682571397517,1.0251184705105638
11.375,1.000512191599329,0.972995898679595,1.0288066444034691
11.5,1.0020152388853896,0.9722747743767459,1.0326654207419472
11.625,1.0037123075020147,0.9717913796456192,1.0366817583815149
11.75,1.005589851252105,0.9715316627206054,1.0408419897602827
11.875,1.0076337686327457,0.9714810746349919,1.0451318488839438
12.0,1.0098294449407452,0.971624621883901,1.049536502988274
12.125,1.0121617979589825,0.9719469219344424,1.054040588151233
12.25,1.0146153273840282,0.972432261688273,1.0586282491032797
12.375,1.0171741681058246,0.9730646589370617,1.0632831834546128
12.5,1.0198221473944769,0.9738279267812375,1.0679886905214189
12.625,1.022542845988039,0.9747057409082408,1.0727277248895892
12.75,1.0253196630093935,0.9756817095499258,1.0774829548036144
12.875,1.0281358845708457,0.9767394458614388,1.0822368254104804
13.0,1.0309747558529798,0.9778626423876484,1.0869716268235847
13.125,1.033819556370829,0.9790351472098318,1.0916695669003504
13.25,1.0366536780668543,0.9802410412966445,1.0963128485499947
13.375,1.039460705797983,0.9814647165211694,1.100883751305731
13.5,1.0422244997145078,0.9826909537516545,1.1053647168097047
13.625,1.0449292789635125,0.9839050003788813,1.1097384377706658
13.75,1.047559706090137,0.9850926466091535,1.1139879498654426
13.875,1.0501009714579421,0.9862402998296598,1.118096725967668
