hour,HR,HR_lower_95,HR_upper_95
0.0,0.8426050188375049,0.7495168325578708,0.9472545337603657
0.125,0.83958835187722,0.7458651914864655,0.9450884806717758
0.25,0.8367844585980768,0.7423828714768658,0.9431901745770498
0.375,0.8341992554835402,0.7390773486136717,0.941563693102771
0.5,0.83183807421206,0.7359557035669764,0.940212268693773
0.625,0.8297056614105945,0.7330246280734679,0.9391382747753949
0.75,0.8278061792873845,0.7302904306442524,0.9383432148519976
0.875,0.8261432069494763,0.7277590413621285,0.9378277143920097
1.0,0.824719742227898,0.7254360156889065,0.9375915153241153
1.125,0.8235382038528398,0.7233265372512976,0.9376334729573687
1.25,0.8226004338423555,0.721435419611791,0.9379515551395476
1.375,0.8219076999906859,0.7197671070591666,0.9385428434818001
1.5,0.8214606983659869,0.7183256744727605,0.9394035365020548
1.625,0.8212595557517378,0.7171148263264978,0.9405289545728359
1.75,0.8213038319911137,0.7161378949044066,0.9419135465989105
1.875,0.8215925222188443,0.7153978378003424,0.9435508983943968
2.0,0.8221240589902731,0.7148972347724163,0.9454337427753619
2.125,0.8228963143421983,0.7146382840185166,0.9475539714304315
2.25,0.823906601844345,0.7146227979345469,0.9499026486765824
2.375,0.8251516787237234,0.7148521984125841,0.9524700272483528
2.5,0.8266277481663845,0.7153275117329045,0.9552455663046963
2.625,0.8283304619219365,0.7160493631023054,0.958217951867346
2.75,0.8302549233553395,0.7170179708917493,0.9613751199268756
2.875,0.8323956911077038,0.7182331406292917,0.9647042824668208
3.0,0.8347467835427785,0.7196942588095079,0.9681919566617626
3.125,0.8373016841682838,0.7214002865881606,0.9718239975017916
3.25,0.8400533482309384,0.7233497534403671,0.9755856340831492
3.375,0.8429942106907131,0.7255407508717903,0.9794615097831147
3.5,0.8461161957832536,0.7279709262849682,0.9834357265065792
3.625,0.8494107283793598,0.7306374771164417,0.9874918931526002
3.75,0.8528687473466741,0.7335371453743691,0.9916131784021049
3.875,0.8564807211111561,0.7366662127203872,0.9957823678734666
4.0,0.8602366656044103,0.7400204962531243,0.9999819256317926
4.125,0.8641261647673726,0.7435953451635279,1.0041940599713606
4.25,0.8681383937612772,0.7473856384436001,1.0084007933198789
4.375,0.8722621450132211,0.7513857838397884,1.0125840360393261
4.5,0.8764858571961582,0.7555897182497636,1.0167256638224174
4.625,0.8807976472119614,0.7599909097662325,1.0208075983076674
4.75,0.8851853452115511,0.7645823615734294,1.024811890461119
4.875,0.8896365326483465,0.769356617900699,1.0287208062005981
5.0,0.894138583320879,0.7743057722328306,1.0325169136704653
5.125,0.8986787073178086,0.779421477968323,1.0361831715127958
5.25,0.9032439977343923,0.7846949617043635,1.0397030174262556
5.375,0.9078214799843133,0.7901170393108973,1.0430604562580814
5.5,0.9123981634854,0.7956781349356778,1.0462401468388058
5.625,0.9169610954529105,0.8013683030576837,1.0492274867448534
5.75,0.9214974164905235,0.8071772536778457,1.0520086941617641
5.875,0.9259944176277954,0.8130943807038519,1.0545708860213476
6.0,0.9304395984144143,0.8191087935501558,1.0569021515999226
6.125,0.9348207256469545,0.8252093519355768,1.058991620792153
6.25,0.9391258922737559,0.831384703819483,1.060829526315745
6.375,0.9433435759987575,0.8376233263740274,1.0624072591559541
6.5,0.9474626970862752,0.8439135698448724,1.0637174166247982
6.625,0.9514726748563492,0.8502437041069598,1.0647538424870362
6.75,0.9553634823548978,0.8566019676759036,1.0655116586921098
6.875,0.9591256986847813,0.8629766188902847,1.0659872883468295
7.0,0.9627505584932287,0.8693559889363228,1.0661784696659116
7.125,0.9662299981279252,0.8757285363449359,1.0660842607446557
7.25,0.9695566979983101,0.8820829025528768,1.0657050351081203
7.375,0.9727241207100144,0.888407968085303,1.0650424681020187
7.5,0.9757265445784661,0.894692908887516,1.064099514300194
7.625,0.9785590921719484,0.9009272523094392,1.0628803762098773
7.75,0.9812177535841101,0.9071009322282856,1.0613904646570766
7.875,0.9836994041902951,0.9132043427833373,1.0596363513285716
8.0,0.9860018167001493,0.9192283901922148,1.057625714032509
8.125,0.9881236673798013,0.9251645421207465,1.0553672753150933
8.25,0.9900645363794277,0.9310048740886834,1.052870735135205
8.375,0.9918249021651366,0.9367421124110458,1.0501466983510872
8.5,0.9934061301167374,0.942369673199679,1.0472065978129232
8.625,0.9948104554140484,0.9478816969813261,1.0440626138818705
8.75,0.9960409603929015,0.9532730785267636,1.0407275912099094
8.875,0.9971015466069842,0.9585394915297002,1.0372149536159558
9.0,0.9979969018822545,0.9636774078235237,1.0335386178825658
9.125,0.998732462696112,0.9686841108777893,1.029712907274973
9.25,0.9993143722531971,0.9735577033736976,1.0257524655510635
9.375,0.9997494346631087,0.9782971087177684,1.0216721721882893
9.5,1.000045065652144,0.9829020664144953,1.0174870595026884
9.625,1.000209240261157,0.9873731212809789,1.0132122322773964
9.75,1.000250437994766,0.9917116065484066,1.008862790454682
9.875,1.0001775858934678,0.9959196209558179,1.0044537553779795
10.0,1.0,1.0,1.0
10.125,0.9997273256848193,0.9955161834010768,1.003956281560776
10.25,0.9993694772833375,0.9910166898897146,1.0077926661726715
10.375,0.9989365774800745,0.9865155728859926,1.0115139722613633
10.5,0.9984388968527991,0.9820265037190923,1.0151255867059479
10.625,0.9978867939636957,0.9775627254036985,1.0186334111255342
10.75,0.9972906563553442,0.9731370113971596,1.022043804320745
10.875,0.9966608427775617,0.9687616292807847,1.0253635213272605
11.0,0.9960076269376879,0.9644483092550207,1.0285996495595806
11.125,0.9953411430324126,0.9602082172899469,1.0317595425387973
11.25,0.9946713332844752,0.9560519327298411,1.0348507517085785
11.375,0.9940078976731518,0.9519894301137091,1.0378809568490508
11.5,0.9933602460140263,0.9480300649427498,1.0408578955991614
11.625,0.9927374525116556,0.9441825631007562,1.0437892925948509
11.75,0.9921482128788781,0.9404550136143642,1.0466827887233636
11.875,0.9916008040891072,0.9368548644267509,1.0495458709837786
12.0,0.991103046803312,0.9333889208506518,1.0523858034307865
12.125,0.9906622704918094,0.9300633463641899,1.055209559663359
12.25,0.990285281252636,0.9268836654157092,1.058023757302684
12.375,0.9899783323132603,0.923854767911289,1.0608345948849958
12.5,0.9897470971907644,0.9209809150705146,1.0636477915750748
12.625,0.9895966454773502,0.9182657463520615,1.0664685300855834
12.75,0.9895314212129913,0.9157122871702966,1.0693014031662806
12.875,0.9895552238051291,0.913322957147014,1.0721503640057939
13.0,0.9896711914562631,0.9110995786681707,1.075018680867135
13.125,0.9898817870638758,0.9090433855436366,1.0779088962566747
13.25,0.9901887865630362,0.9071550315980443,1.080822790904853
13.375,0.9905932696899308,0.9054345990523956,1.0837613528155041
13.5,0.991095613154072,0.9038816065886579,1.0867247516192255
13.625,0.9916954862176747,0.9024950170227217,1.0897123184445792
13.75,0.9923918486922124,0.9012732445443484,1.0927225314989215
13.875,0.9931829513740728,0.9002141615156573,1.0957530075280395
14.0,0.9940663389530554,0.899315104851893,1.0988004993002656
14.125,0.9950388554387757,0.8985728820392646,1.101860899236045
14.25,0.9960966521603903,0.8979837768741996,1.1049292492776719
14.375,0.9972351984040356,0.8975435550360822,1.107999757065781
14.5,0.9984492947595266,0.8972474696311228,1.111065818458806
14.625,0.9997330892528254,0.8970902668681877,1.1141200463986893
14.75,1.001080096343169,0.897066192047953,1.1171543060903555
14.875,1.0024832188632165,0.8971689960644313,1.1201597564236183
15.0,1.0039347729768515,0.8973919426325875,1.1231268975241213
15.125,1.0054265162220892,0.8977278164672462,1.1260456242745482
15.25,1.0069496786957268,0.898168932646693,1.1289052855987367
15.375,1.008494997421789,0.8987071473991678,1.1316947492496552
15.5,1.0100527539274278,0.8993338705517718,1.1344024717877574
15.625,1.0116128150277235,0.9000400798790902,1.1370165733794781
15.75,1.0131646767949338,0.900816337583034,1.1395249169871584
15.875,1.0146975116583181,0.9016528091259943,1.141915191462247
16.0,1.016200218547989,0.9025392846263766,1.1441749979940998
16.125,1.0176614759607112,0.9034652030089573,1.1462919393081104
16.25,1.0190697977875753,0.9044196790823069,1.1482537109503788
16.375,1.0204135917036192,0.9053915336918164,1.1500481939429161
16.5,1.021681219878322,0.9063693270697293,1.1516635480447492
16.625,1.0228610617241811,0.9073413954731272,1.153088304811621
16.75,1.0239415783590375,0.9082958911671736,1.1543114596115978
16.875,1.0249113784172743,0.9092208257742606,1.1553225617271543
17.0,1.0257592848062855,0.9101041169701986,1.1561118016574758
17.125,1.0264744019686143,0.9109336384664518,1.1566700947290012
17.25,1.0270461831777185,0.9116972731728721,1.1569891601287134
17.375,1.0274644973673075,0.9123829693886518,1.157061594494274
17.5,1.0277196949714302,0.9129787998205449,1.1568809392285757
17.625,1.0278026722356937,0.91347302317703,1.156441740754185
17.75,1.0277049334498665,0.9138541480352601,1.1557396029857958
17.875,1.0274186505492005,0.9141109986245991,1.154771231376292
18.0,1.026936719536537,0.914232782116563,1.1535344679841122
18.125,1.026252813189957,0.9142091569563345,1.1520283171158445
18.25,1.0253614295415276,0.9140303017160833,1.150252961217495
18.375,1.0242579356415589,0.9136869838955329,1.1482097668195064
18.5,1.0229386061595491,0.913170628041192,1.1459012804827524
18.625,1.0214006564172682,0.912473382503219,1.1433312148433503
18.75,1.019642269500698,0.9115881840991303,1.1405044250107077
18.875,1.017662617155091,0.9105088199079414,1.1374268757326913
19.0,1.0154618742304031,0.9092299853787366,1.134105599900553
19.125,1.0130412265117774,0.9077473379064208,1.1305486491201167
19.25,1.0104028718405476,0.9060575450073219,1.126765037219988
19.375,1.0075500145041734,0.9041583262216129,1.1227646776971014
19.5,1.0044868529473712,0.902048487881718,1.1185583162092934
19.625,1.001218560930203,0.8997279499196202,1.1141574593083412
19.75,0.9977512623307108,0.8971977639447417,1.109574300659804
19.875,0.9940919998586301,0.8944601219108116,1.104821646013491
20.0,0.9902486980115446,0.8915183548068716,1.0999128381669536
20.125,0.9862301206644842,0.8883769209549853,1.0948616831021525
20.25,0.982045823737419,0.8850413836742385,1.089682378372357
20.375,0.977706103431505,0.8815183782741051,1.0843894446747202
20.5,0.973221940563608,0.8778155685648833,1.0789976613685293
20.625,0.9686049415590333,0.8739415933111484,1.0735220064970106
20.75,0.9638672766841788,0.8699060032966803,1.0679776016509765
20.875,0.9590216161138329,0.8657191899053253,1.0623796617863681
21.0,0.9540810644320884,0.8613923063403884,1.0567434498865418
21.125,0.949059094161498,0.8569371827942504,1.0510842361556196
21.25,0.9439694789025528,0.8523662370299097,1.045417261252089
21.375,0.9388262266452913,0.8476923819389982,1.0397577029310414
21.5,0.933643513787501,0.8429289316910197,1.0341206453653846
21.625,0.9284356203603084,0.8380895080837558,1.0285210503645703
21.75,0.9232168669227889,0.8331879486457556,1.0229737297041885
21.875,0.9180015535435055,0.8282382179324776,1.01749331781861
22.0,0.9128039012395109,0.8232543233044791,1.0120942441864458
22.125,0.9076379961933352,0.8182502362876263,1.0067907048477445
22.25,0.9025177370167532,0.8132398204014943,1.0015966326239483
22.375,0.8974567852776568,0.8082367661134093,0.9965256657575647
22.5,0.8924685194540222,0.8032545333422644,0.9915911148391466
