cancer_type,n,events,term,HR,HR_lower_95,HR_upper_95,p,E_value
Nasopharyngeal Carcinoma,5590,3027,age_at_rt,1.0164129660467074,1.013580179754757,1.0192536695003545,2.8730859693785703e-30,1.1455731437376573
Nasopharyngeal Carcinoma,5590,3027,approval_to_rt_days,0.9942881584466388,0.9863352138783101,1.0023052286047436,0.16211117422085683,1.0817555425262013
Nasopharyngeal Carcinoma,5590,3027,timing_group_Night,0.6908403015821286,0.6097314861056741,0.7827385220637453,6.467589907986499e-09,2.2523603610775433
Nasopharyngeal Carcinoma,5590,3027,timing_group_Afternoon,1.0203151450438643,0.9299696441023548,1.1194376093971754,0.6707259667005783,1.164286844214283
Nasopharyngeal Carcinoma,5590,3027,timing_group_Evening,0.944995859160831,0.8561994049640473,1.043001395064758,0.26113680098801945,1.3063862705388594
Nasopharyngeal Carcinoma,5590,3027,sex_Male,1.026753969467544,0.9506613725243502,1.108937150794307,0.5015519456866684,1.1924939596624706
Nasopharyngeal Carcinoma,5590,3027,year_bin_2015-2019,1.1025202036618276,0.9933282906269293,1.223715070790277,0.06662980067036653,1.4387204353998353
Nasopharyngeal Carcinoma,5590,3027,year_bin_2020-2025,1.0531330837015624,0.9560660432497737,1.16005510269651,0.29403307238778637,1.2896837300443693
Nasopharyngeal Carcinoma,5590,3027,stage_Stage II,1.259224524944158,1.112215973030916,1.4256641180037835,0.0002735923258620637,1.8305579471038305
Nasopharyngeal Carcinoma,5590,3027,stage_Stage III,1.8463237972117623,1.640965491423924,2.0773816280514388,2.136676750871483e-24,3.096358903494261
Nasopharyngeal Carcinoma,5590,3027,stage_Stage IV,2.966058424480508,2.6227887855242864,3.354255068493135,3.030768397707553e-67,5.380896753013349
Nasopharyngeal Carcinoma,5590,3027,stage_Recurrence,2.550058841375596,2.063183015337729,3.1518290166872966,4.7194620997522606e-18,4.53820905026381
Nasopharyngeal Carcinoma,5590,3027,stage_Unknown,1.5332139020614972,1.2817313545861677,1.83403867047758,2.9334913868671583e-06,2.43738809291918
Nasopharyngeal Carcinoma,5590,3027,kps_group_<90,1.5257889260778212,1.3940212838502755,1.6700116948800854,4.787827089250549e-20,2.421469070361421
Nasopharyngeal Carcinoma,5590,3027,kps_group_Not documented,1.0917776943618074,0.9996850696315627,1.1923540424038659,0.05082452668281208,1.4083228562963672
Nasopharyngeal Carcinoma,5590,3027,concurrent_chemo_Yes,0.97405244055447,0.9067438899214272,1.0463573755455189,0.4717653909292767,1.192012270891074
Nasopharyngeal Carcinoma,5590,3027,total_dose_group_Middle,0.8738257903896918,0.8023124537664055,0.9517133983968851,0.0019612564253392974,1.5508927604541278
Nasopharyngeal Carcinoma,5590,3027,total_dose_group_High,0.7868743085353903,0.7132645996506738,0.8680806221650309,1.7261103016206162e-06,1.8575462000196916
Nasopharyngeal Carcinoma,5590,3027,fraction_dose_group_Middle,1.0069485690220141,0.9290855931589096,1.0913369318407438,0.8660810170774874,1.0905957544705862
Esophageal Cancer,6187,4762,age_at_rt,1.017853652865771,1.0155459379219893,1.0201666118345276,1.0316504751284504e-52,1.1526587187439579
Esophageal Cancer,6187,4762,approval_to_rt_days,1.0033119781974293,0.9970822892039939,1.0095805897806802,0.29811532362224435,1.0609569900979363
Esophageal Cancer,6187,4762,timing_group_Night,0.888442145277349,0.8056357711550477,0.9797596802005812,0.017807640443509964,1.5015077612092933
Esophageal Cancer,6187,4762,timing_group_Afternoon,1.0269664052488532,0.9532802067580577,1.1063483643455365,0.48364063839147575,1.1933803237199312
Esophageal Cancer,6187,4762,timing_group_Evening,0.961766686425376,0.8892705108345363,1.0401729820654744,0.3295926669136638,1.2430596990896283
Esophageal Cancer,6187,4762,sex_Male,0.9778119552071552,0.9156473479481673,1.0441970065097195,0.5031702561987966,1.175028095829552
Esophageal Cancer,6187,4762,year_bin_2015-2019,1.0588540846049264,0.9756460111315816,1.149158567444118,0.17083775772912058,1.3084895946583044
Esophageal Cancer,6187,4762,year_bin_2020-2025,1.025198655042802,0.9500574088413943,1.1062829177694808,0.5216592324637807,1.1859270820828505
Esophageal Cancer,6187,4762,stage_Stage II,1.2959562581009147,1.1825206396877919,1.4202734113413409,2.904287324017732e-08,1.915267460009947
Esophageal Cancer,6187,4762,stage_Stage III,1.7205249693108104,1.5729291374980545,1.8819704584597834,1.9581182619610535e-32,2.8339346875687186
Esophageal Cancer,6187,4762,stage_Stage IV,2.929488053441753,2.6579203585866873,3.228802634184742,5.5200092335308435e-104,5.306968274561625
Esophageal Cancer,6187,4762,stage_Recurrence,2.348700059127767,1.9766008826914618,2.7908476698823064,2.9388358575198356e-22,4.128501145940282
Esophageal Cancer,6187,4762,stage_Unknown,1.3991567455971656,1.2224483224737726,1.6014088798359427,1.0840490188274551e-06,2.146473849076596
Esophageal Cancer,6187,4762,kps_group_<90,1.4570779128271947,1.3527318382225288,1.5694729613509704,3.112690255842623e-23,2.27316499838955
Esophageal Cancer,6187,4762,kps_group_Not documented,1.120453365028719,1.045403945422039,1.2008905731624697,0.0013033116491143549,1.4878256260603062
Esophageal Cancer,6187,4762,concurrent_chemo_Yes,0.9742173418094738,0.9202478990664932,1.031351910767839,0.3690197979241785,1.1912842673455084
Esophageal Cancer,6187,4762,total_dose_group_Middle,0.8810787062624135,0.8222059735089913,0.9441669261000072,0.0003329297520378863,1.526367234569577
Esophageal Cancer,6187,4762,total_dose_group_High,0.7899793808500156,0.7297561703340409,0.855172518627025,5.643928422844144e-09,1.8459723147600544
Esophageal Cancer,6187,4762,fraction_dose_group_Middle,0.9853349518141252,0.9245307747905556,1.0501380740803248,0.6493978717863288,1.137785003802831
Lung Cancer,8777,7300,age_at_rt,1.0190500045180488,1.0171767992883332,1.020926659391755,7.0195584147210035e-90,1.1583802136982067
Lung Cancer,8777,7300,approval_to_rt_days,1.0029075624333748,0.9977585585723809,1.0080831380942623,0.26893391806534794,1.0569077138468543
Lung Cancer,8777,7300,timing_group_Night,1.1253973386760876,1.0429615569988022,1.2143488524579198,0.0023365999807115918,1.5010591962330306
Lung Cancer,8777,7300,timing_group_Afternoon,0.9791862003378414,0.9220149534737527,1.0399024563752413,0.4931869532482065,1.168592739983438
Lung Cancer,8777,7300,timing_group_Evening,0.9304248602228248,0.8730687953214795,0.9915489193516537,0.026324070896999008,1.358273035007908
Lung Cancer,8777,7300,sex_Male,1.0512927562507128,1.0026654332037792,1.1022784098717398,0.03844040533911719,1.2835075341924016
Lung Cancer,8777,7300,year_bin_2015-2019,1.0469369101327235,0.9790470460357433,1.119534447538937,0.17994660371315613,1.2686123117124453
Lung Cancer,8777,7300,year_bin_2020-2025,1.0223395716688526,0.9610377761388411,1.0875516298633572,0.4837438016338642,1.1734641167672595
Lung Cancer,8777,7300,stage_Stage II,1.229289772393871,1.1421907279490549,1.3230306528802231,3.6762518512835894e-08,1.7601980244660196
Lung Cancer,8777,7300,stage_Stage III,1.6716136482330184,1.5568185595748556,1.794873379285754,1.7567145984883684e-45,2.731178908481713
Lung Cancer,8777,7300,stage_Stage IV,2.9752428537769204,2.7527641073932387,3.215702360829313,1.955650837533746e-166,5.399459672704987
Lung Cancer,8777,7300,stage_Recurrence,2.483437233362121,2.1538838219775,2.863413722280948,5.609355218763975e-36,4.402818190516585
Lung Cancer,8777,7300,stage_Unknown,1.2841729332711376,1.1514546544268565,1.4321885071254044,6.998498358196641e-06,1.8882649703607353
Lung Cancer,8777,7300,kps_group_<90,1.4426853439052856,1.3567472392950648,1.5340668779252722,1.331883946732435e-31,2.2418446882251946
Lung Cancer,8777,7300,kps_group_Not documented,1.1496407950433276,1.0872869104377094,1.215570559104577,9.520556395609842e-07,1.5644096012288058
Lung Cancer,8777,7300,concurrent_chemo_Yes,0.9688449046406779,0.9253007823105747,1.0144381883091775,0.17733967203479545,1.2143409690122553
Lung Cancer,8777,7300,total_dose_group_Middle,0.8202129746093497,0.7291468207735998,0.9226527560029046,0.0009646763706487191,1.7361502994009679
Lung Cancer,8777,7300,total_dose_group_High,0.749476306812985,0.6735994197026717,0.8339002648220419,1.1882140033182871e-07,2.00209587091558
Lung Cancer,8777,7300,fraction_dose_group_Middle,1.064316734718827,0.9446762747487631,1.1991093055701076,0.30558745349635735,1.3259526976209457
Lung Cancer,8777,7300,fraction_dose_group_High,1.042647317082189,0.897947763795825,1.2106644413514842,0.5837872930583676,1.2535172076225358
